T,I,O
927,0.98089,0.99775
928,0.98089,0.99775
929,0.98089,0.99775
930,0.98089,0.99775
931,0.98089,0.99775
932,0.98089,0.99775
933,0.98089,0.99775
934,0.98089,0.99775
935,0.98089,0.99775
936,0.98089,0.99775
937,0.98089,0.99775
938,0.98089,0.99775
939,0.98089,0.99775
940,0.98089,0.99775
941,0.98089,0.99775
942,0.98089,0.99775
943,0.98089,0.99775
944,0.98089,0.99775
945,0.98089,0.99775
946,0.98089,0.99775
947,0.98089,0.99775
948,0.98089,0.99775
949,0.98089,0.99775
950,0.98089,0.99775
951,0.98089,0.99775
952,0.98089,0.99775
953,0.98089,0.99775
954,0.98089,0.99775
955,0.98089,0.99775
956,0.98089,0.99775
957,0.98089,0.99775
958,0.98089,0.99775
959,0.98089,0.99775
960,0.98089,0.99775
961,0.98089,0.99775
962,0.98089,0.99775
963,0.98089,0.99775
964,0.98089,0.99775
965,0.98089,0.99775
966,0.98089,0.99775
967,0.98089,0.99775
968,0.98089,0.99775
969,0.98089,0.99775
970,0.98089,0.99775
971,0.98089,0.99775
972,0.98089,0.99775
973,0.98089,0.99775
974,0.98089,0.99775
975,0.98089,0.99775
976,0.98089,0.99775
977,0.98089,0.99775
978,0.98089,0.99775
979,0.98089,0.99775
980,0.98089,0.99775
981,0.98089,0.99775
982,0.98089,0.99775
983,0.98089,0.99775
984,0.98089,0.99775
985,0.98089,0.99775
986,0.98089,0.99775
987,0.98089,0.99775
988,0.98089,0.99775
989,0.98089,0.99775
990,0.98089,0.99775
991,0.98089,0.99775
992,0.98089,0.99775
993,0.98089,0.99775
994,0.98089,0.99775
995,0.98089,0.99775
996,0.98089,0.99775
997,0.98089,0.99775
998,0.98089,0.99775
999,0.98089,0.99775
1000,0.98089,0.99775
